seq_idx,image_number,path,saliency_score,saved_png
0,0,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_1e63478f5.dcm,9.750133358465973e-06,000_img000_pred-any_p0.022_s0.00001_ID_1e63478f5.png
1,1,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_ccfb89da1.dcm,1.7055381249519996e-05,001_img001_pred-any_p0.022_s0.00002_ID_ccfb89da1.png
2,2,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_bec697c3d.dcm,1.606696969247423e-05,002_img002_pred-any_p0.022_s0.00002_ID_bec697c3d.png
3,3,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_e7ef990ae.dcm,2.0442432287381962e-05,003_img003_pred-any_p0.022_s0.00002_ID_e7ef990ae.png
4,4,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_700521572.dcm,5.635418347083032e-05,004_img004_pred-any_p0.022_s0.00006_ID_700521572.png
5,5,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_55b020ebf.dcm,2.980069984914735e-05,005_img005_pred-any_p0.022_s0.00003_ID_55b020ebf.png
6,6,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_6cab867e8.dcm,7.12007240508683e-05,006_img006_pred-any_p0.022_s0.00007_ID_6cab867e8.png
7,7,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_a5eee1ce0.dcm,9.003216109704226e-05,007_img007_pred-any_p0.022_s0.00009_ID_a5eee1ce0.png
8,8,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_f0c80ea61.dcm,5.202928514336236e-05,008_img008_pred-any_p0.022_s0.00005_ID_f0c80ea61.png
9,9,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_cffefd3c4.dcm,7.956681656651199e-05,009_img009_pred-any_p0.022_s0.00008_ID_cffefd3c4.png
10,10,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_0c5d98f2d.dcm,0.000193229119759053,010_img010_pred-any_p0.022_s0.00019_ID_0c5d98f2d.png
11,11,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_b6c9291b9.dcm,0.00013314989337231964,011_img011_pred-any_p0.022_s0.00013_ID_b6c9291b9.png
12,12,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_6a0c0e85b.dcm,0.00010917295730905607,012_img012_pred-any_p0.022_s0.00011_ID_6a0c0e85b.png
13,13,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_d1bdb79ee.dcm,0.00011301294580334798,013_img013_pred-any_p0.022_s0.00011_ID_d1bdb79ee.png
14,14,/mnt/vstor/SOM_RAD_JWP84/lab/rsna-intracranial-hemorrhage-detection/rsna-intracranial-hemorrhage-detection/stage_2_test/ID_1aa6c9a45.dcm,0.00012541950854938477,014_img014_pred-any_p0.022_s0.00013_ID_1aa6c9a45.png
